id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1363551422650802176	1363551422650802176	2021-02-21 10:09:27 PST	2021-02-21	10:09:27	-0800	949210849	msgeekmedia	Ms. Geek says let's defeat COVID!!!		COVID-19 vaccination should be MANDATORY. Both shots. And if you refuse you get thrown in jail to get your first, then your second shot. Unless there is a scientific reason why you cannot be vaccinated, you better go voluntarily or prepare to spend time in jail at your expense.	en	[]	[]	[]	1	2	5	[]	[]	https://twitter.com/msgeekmedia/status/1363551422650802176	False		0								[]				
1363471388049309700	1363391522201346049	2021-02-21 04:51:25 PST	2021-02-21	04:51:25	-0800	1120360901310386176	david_j_bond	David_J_Bond		@MartinW11510691 @toryboypierce @BorisJohnson You are correct - it is THEIR democratic right and choice.   Having taken up that right, they should cease trying to claim racial discrimination is the reason more BAME people are dying from Covid-19.  If they refuse the vaccination, the fault is their own.	en	[]	[]	[]	0	3	10	[]	[]	https://twitter.com/David_J_Bond/status/1363471388049309700	False		0								[{'screen_name': 'MartinW11510691', 'name': 'Martin Wilson', 'id': '1144158757594812416'}, {'screen_name': 'toryboypierce', 'name': 'Andrew Pierce', 'id': '1944466748'}, {'screen_name': 'BorisJohnson', 'name': 'Boris Johnson', 'id': '3131144855'}]				
1363255097724198914	1363178059969478658	2021-02-20 14:31:58 PST	2021-02-20	14:31:58	-0800	23199224	seandlynch	Seán D Lynch		@leoie @ciananbrennan 11 months failure to properly resource public health meant the government has been flying blind; then a lack of border control let a nasty variant in; now they refuse to reverse out of their “living with covid” strategy, crossing fingers that vaccination might be a panacea	en	[]	[]	[]	0	0	6	[]	[]	https://twitter.com/seandlynch/status/1363255097724198914	False		0								[{'screen_name': 'leoie', 'name': 'Leo O’Shaughnessy 🏳️\u200d🌈🇪🇺', 'id': '14229123'}, {'screen_name': 'ciananbrennan', 'name': 'Cianan Brennan', 'id': '21481315'}]				
1363182365510524928	1363105933216395264	2021-02-20 09:42:57 PST	2021-02-20	09:42:57	-0800	17655617	aviatorwriting	“Heavy Mayday” Airline Pilot 🧑🏻‍✈️		@Dugaru Airline pilots are, by and large, conservative in their politics. Which is fine. Except when it comes to Covid.But what irritates me is the airlines that employ us: some refuse to make masks in the cockpit mandatory. 😠 This is why vaccination of flt crew just needs to happen now	en	[]	[]	[]	2	0	9	[]	[]	https://twitter.com/aviatorwriting/status/1363182365510524928	False		0								[{'screen_name': 'Dugaru', 'name': 'Doug Garrou', 'id': '41114444'}]				
1362933877052895233	1362933877052895233	2021-02-19 17:15:33 PST	2021-02-19	17:15:33	-0800	453373363	punt_rd	Punt Road		Australians banned from the PUB if they refuse coronavirus vaccine...we know how to motivate our population into vaccination!  Get a vaccine in me...get in a beer in me!   #COVID   https://t.co/9NKBxPLnHO	en	[]	['https://apple.news/AC1IymR2iTnO27Ua2Nr01_w']	[]	0	1	8	['covid']	[]	https://twitter.com/punt_rd/status/1362933877052895233	False		0								[]				
1362466797094600704	1362466329790468098	2021-02-18 10:19:32 PST	2021-02-18	10:19:32	-0800	316003254	catholicsat	Catholic Sat		This clarification comes after the Vatican received massive criticism on social media as a result of a decree that implied employees could lose their jobs if they refuse to get a Covid-19 vaccination without a legitimate health reason.	en	[]	[]	[]	0	3	9	[]	[]	https://twitter.com/CatholicSat/status/1362466797094600704	False		0								[]				
1362441458054291457	1362441458054291457	2021-02-18 08:38:51 PST	2021-02-18	08:38:51	-0800	922029913	gemmamichellex	Gemma Rossall		refuse to get vaccinated for covid when I’m a young woman at 25 who has l already had it, probably immune, probs will never get ill off it ..and I’ll be right there with all the others getting fake vaccination slips just like ppl forged false covid tests	en	[]	[]	[]	0	0	7	[]	[]	https://twitter.com/GemmaMichellex/status/1362441458054291457	False		0								[]				
1362432726679232514	1362432726679232514	2021-02-18 08:04:09 PST	2021-02-18	08:04:09	-0800	1247223374717296647	theinsiderpaper	Insider Paper		JUST IN - The Vatican has told employees that they will be fired from their jobs if they refuse to get a COVID-19 vaccination (Reuters)	en	[]	[]	[]	18	72	116	[]	[]	https://twitter.com/TheInsiderPaper/status/1362432726679232514	False		0								[]				
1362429903207948289	1362429903207948289	2021-02-18 07:52:56 PST	2021-02-18	07:52:56	-0800	1141067933495336960	mrcasey62	MrCasey		“The Vatican has told employees that they risk losing their jobs if they ‘refuse to get a [Covid-19] vaccination without sufficient reason’.”  Neither a well-formed conscience nor the Principle of the Integral Good were listed as “sufficient reasons.“	en	[]	[]	[]	9	5	44	[]	[]	https://twitter.com/MrCasey62/status/1362429903207948289	False	https://twitter.com/edwardpentin/status/1362409605498830850	0								[]				
1362415335132049416	1362415335132049416	2021-02-18 06:55:03 PST	2021-02-18	06:55:03	-0800	22594051	staronline	The Star		The Vatican has told employees that they may risk losing their jobs if they refuse to get a COVID-19 vaccination.  https://t.co/px4shFKjDl	en	[]	['https://www.thestar.com.my/news/world/2021/02/18/no-jab-no-job-vatican-gets-tough-with-covid-anti-vaxxers']	[]	0	9	13	[]	[]	https://twitter.com/staronline/status/1362415335132049416	False		0								[]				
1362415078952288258	1362415078952288258	2021-02-18 06:54:01 PST	2021-02-18	06:54:01	-0800	498317449	tomaszbielecki	Tomasz Bielecki		'No jab, no job. The Vatican has told employees that they may risk losing their jobs if they refuse to get a Covid-19 vaccination without legitimate health reasons'.  https://t.co/tPYvnF2QqA via @rte	en	[{'screen_name': 'rte', 'name': 'rté', 'id': '1245699895'}]	['https://www.rte.ie/news/coronavirus/2021/0218/1197902-vatican-covid-vaccine/']	[]	1	2	15	[]	[]	https://twitter.com/TomaszBielecki/status/1362415078952288258	False		0								[]				
1362414491158388740	1362414491158388740	2021-02-18 06:51:41 PST	2021-02-18	06:51:41	-0800	25088746	sabcnews	SABC News		The Vatican has told employees that they may risk losing their jobs if they refuse to get a COVID-19 vaccination without legitimate health reasons  https://t.co/F0owmYJimz #SABCNews #COVID19 #vaccine	en	[]	['https://www.sabcnews.com/sabcnews/vatican-gets-tough-with-those-that-refuse-to-take-covid-19-vaccination/']	[]	9	16	21	['sabcnews', 'covid19', 'vaccine']	[]	https://twitter.com/SABCNews/status/1362414491158388740	False		0								[]				
